epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,112.931,0.503,0.45181,0.909,0.95267,1,0.99482,0.89035,0.47026,0.78765,0.8643,0.00021532,0.00021532,0.00021532
16,120.767,0.5318,0.45499,0.90546,0.98245,1,0.995,0.89286,0.50818,0.68866,0.87756,0.00022575,0.00022575,0.00022575
17,128.662,0.49438,0.43646,0.87577,0.99416,1,0.995,0.88385,0.50288,0.62346,0.88173,0.00023552,0.00023552,0.00023552
18,136.401,0.47512,0.46353,0.88939,0.99416,1,0.995,0.88385,0.50288,0.62346,0.88173,0.00024463,0.00024463,0.00024463
19,143.828,0.51012,0.4639,0.87883,0.99594,1,0.995,0.89752,0.46045,0.59048,0.87284,0.00025308,0.00025308,0.00025308
20,150.916,0.56184,0.4906,0.96183,0.99594,1,0.995,0.89752,0.46045,0.59048,0.87284,0.00026087,0.00026087,0.00026087
21,158.684,0.46859,0.41863,0.8769,0.9953,1,0.995,0.91492,0.41216,0.6023,0.85846,0.000268,0.000268,0.000268
22,166.123,0.41927,0.39611,0.86805,0.9953,1,0.995,0.91492,0.41216,0.6023,0.85846,0.00027447,0.00027447,0.00027447
23,174.322,0.43983,0.39272,0.88472,0.98791,1,0.995,0.91343,0.40915,0.65403,0.86212,0.00028028,0.00028028,0.00028028
24,182.876,0.49307,0.46786,0.87682,0.98791,1,0.995,0.91343,0.40915,0.65403,0.86212,0.00028543,0.00028543,0.00028543
25,191.359,0.42233,0.38859,0.89424,0.9885,1,0.995,0.89548,0.457,0.71164,0.88154,0.00028992,0.00028992,0.00028992
26,199.184,0.48889,0.38191,0.8632,0.9885,1,0.995,0.89548,0.457,0.71164,0.88154,0.00029375,0.00029375,0.00029375
27,207.544,0.43356,0.37508,0.90954,0.99399,1,0.995,0.89496,0.45221,0.60656,0.87763,0.00029692,0.00029692,0.00029692
28,215.465,0.47652,0.41283,0.8982,0.99399,1,0.995,0.89496,0.45221,0.60656,0.87763,0.00029943,0.00029943,0.00029943
29,223.93,0.38948,0.38097,0.85501,0.99649,1,0.995,0.92557,0.39869,0.48533,0.84746,0.00030128,0.00030128,0.00030128
30,232.016,0.41148,0.36121,0.87596,0.99649,1,0.995,0.92557,0.39869,0.48533,0.84746,0.00030247,0.00030247,0.00030247
31,240.314,0.41976,0.39366,0.90153,0.99473,1,0.995,0.94962,0.34957,0.42606,0.82392,0.000303,0.000303,0.000303
32,247.364,0.43609,0.40266,0.8763,0.99473,1,0.995,0.94962,0.34957,0.42606,0.82392,0.00030287,0.00030287,0.00030287
33,254.647,0.40417,0.38474,0.85837,0.99489,1,0.995,0.93503,0.34835,0.45659,0.82123,0.00030208,0.00030208,0.00030208
